customer_id,product_id,product_category,purchase_amount,purchase_date
467,44,Electronics,543.51,2024-10-21
50,26,Groceries,755.43,2024-08-31
352,2,Home Goods,818.58,2024-12-19
230,35,Fashion,320.81,2024-05-16
458,50,Stationary,122.62,2024-08-16
487,40,Electronics,172.72,2024-05-12
357,41,Confectionary,446.02,2024-08-01
277,19,Stationary,633.29,2024-12-15
138,42,Home Goods,533.88,2024-07-10
485,22,Groceries,80.23,2025-01-13
226,48,Fashion,810.09,2024-11-14
382,29,Home Goods,992.2,2024-08-19
468,2,Electronics,708.07,2024-06-19
29,42,Stationary,55.65,2025-02-03
28,39,Fashion,536.48,2024-08-08
305,13,Home Goods,833.39,2024-03-31
177,16,Confectionary,897.58,2024-10-03
429,29,Groceries,930.48,2024-11-24
401,26,Groceries,389.18,2025-01-13
473,23,Home Goods,490.22,2024-05-21
292,28,Confectionary,553.95,2024-12-18
106,14,Electronics,950.58,2024-04-20
225,34,Electronics,632.11,2024-06-05
45,15,Stationary,747.13,2024-05-14
154,9,Home Goods,579.37,2024-03-27
206,5,Stationary,196.46,2024-12-31
158,47,Stationary,524.42,2024-12-08
224,22,Groceries,35.77,2025-02-20
134,46,Fashion,331.15,2024-11-20
259,29,Groceries,125.43,2024-11-09
415,23,Electronics,327.51,2024-10-12
397,15,Home Goods,904.75,2024-07-22
151,1,Home Goods,189.21,2025-01-21
411,38,Fashion,657.99,2024-09-24
122,10,Stationary,844.33,2024-07-11
258,34,Fashion,26.72,2024-05-19
342,41,Confectionary,513.84,2024-07-06
220,41,Electronics,233.9,2024-08-10
228,8,Groceries,22.57,2024-06-11
245,27,Fashion,225.93,2025-02-18
171,30,Confectionary,701.36,2025-03-12
490,18,Fashion,449.66,2024-12-22
126,11,Stationary,512.18,2024-06-28
53,44,Electronics,799.02,2024-11-29
32,34,Home Goods,286.36,2024-04-04
184,2,Groceries,313.9,2024-09-15
232,39,Home Goods,726.71,2024-08-19
241,20,Stationary,786.47,2024-04-26
280,30,Confectionary,151.34,2024-07-24
199,7,Groceries,550.33,2024-09-18
214,6,Groceries,546.42,2024-04-27
446,5,Fashion,194.77,2025-03-04
21,3,Confectionary,270.85,2025-01-22
447,41,Home Goods,107.88,2024-10-17
145,41,Confectionary,775.65,2025-03-14
125,17,Stationary,34.74,2024-07-07
495,8,Electronics,761.27,2025-02-24
369,41,Groceries,292.15,2025-01-24
494,25,Home Goods,24.16,2024-05-06
395,24,Home Goods,901.75,2025-01-14
150,23,Electronics,184.75,2024-11-15
385,42,Confectionary,11.99,2024-11-26
499,7,Stationary,350.68,2024-07-06
58,15,Fashion,845.92,2024-04-09
172,40,Groceries,187.12,2024-06-10
368,25,Confectionary,717.97,2024-10-31
248,32,Confectionary,92.19,2025-01-05
182,21,Home Goods,553.52,2024-03-25
472,19,Stationary,982.07,2024-06-15
142,36,Confectionary,829.61,2024-06-23
450,33,Home Goods,60.9,2025-03-02
272,21,Groceries,487.1,2024-12-04
427,25,Home Goods,346.99,2024-12-19
157,33,Groceries,543.97,2024-07-19
60,28,Stationary,205.79,2024-07-21
295,45,Groceries,745.37,2024-10-09
160,37,Fashion,135.88,2024-09-23
117,19,Fashion,155.63,2024-04-29
102,23,Home Goods,607.71,2024-12-20
91,35,Stationary,424.81,2024-04-26
104,32,Groceries,926.81,2024-05-02
372,19,Stationary,855.31,2025-02-26
404,15,Stationary,207.56,2024-08-21
384,8,Confectionary,131.91,2025-01-28
392,12,Fashion,861.82,2025-01-04
409,11,Groceries,165.82,2024-09-03
190,39,Fashion,895.62,2024-07-15
324,42,Home Goods,296.88,2024-04-21
345,23,Fashion,673.47,2024-06-20
87,1,Fashion,710.93,2024-05-18
74,35,Fashion,537.16,2024-05-20
244,18,Confectionary,880.27,2025-02-05
322,43,Stationary,716.62,2024-07-25
497,7,Electronics,299.91,2024-09-11
375,4,Stationary,409.72,2025-01-06
291,41,Groceries,569.44,2024-12-10
396,28,Electronics,283.35,2025-03-05
3,13,Groceries,126.69,2024-05-02
94,40,Confectionary,410.88,2024-05-03
227,22,Groceries,134.57,2025-02-11
489,26,Stationary,762.84,2025-03-06
85,1,Electronics,148.04,2024-06-09
95,44,Fashion,440.11,2025-03-22
78,35,Groceries,690.53,2024-06-23
451,2,Fashion,151.52,2024-09-17
98,49,Stationary,509.23,2024-05-13
474,44,Electronics,64.95,2025-02-23
438,38,Confectionary,864.83,2024-04-06
16,47,Fashion,238.95,2025-02-03
231,44,Home Goods,254.78,2024-11-07
347,26,Fashion,777.42,2024-11-29
90,24,Home Goods,413.82,2024-12-27
217,43,Fashion,417.63,2024-08-30
12,5,Electronics,344.3,2024-09-20
211,8,Electronics,154.38,2024-06-02
22,30,Fashion,921.16,2024-04-20
371,2,Home Goods,947.71,2024-07-01
285,24,Groceries,184.4,2024-06-16
121,24,Groceries,23.13,2025-01-22
273,25,Fashion,663.37,2024-07-31
493,26,Electronics,942.43,2025-02-14
89,6,Confectionary,874.88,2024-06-11
428,23,Electronics,499.22,2024-04-06
136,50,Electronics,967.86,2024-09-29
216,17,Groceries,200.26,2024-10-02
267,32,Groceries,42.96,2024-06-27
422,49,Fashion,422.01,2025-02-20
204,1,Fashion,217.37,2025-01-02
271,4,Home Goods,774.92,2024-04-08
39,34,Home Goods,310.09,2025-02-05
294,32,Stationary,644.89,2024-08-26
403,7,Fashion,892.88,2024-06-30
314,1,Confectionary,961.42,2025-01-01
240,9,Electronics,193.45,2024-03-29
379,25,Home Goods,358.49,2024-04-12
140,7,Home Goods,468.04,2024-07-16
463,12,Fashion,814.53,2024-04-21
298,5,Stationary,183.91,2025-01-29
100,38,Fashion,87.27,2025-02-22
81,8,Fashion,618.37,2025-01-18
118,26,Electronics,922.06,2024-07-21
148,43,Stationary,160.65,2024-08-09
284,6,Fashion,926.92,2024-08-11
6,38,Groceries,969.86,2024-10-07
365,5,Electronics,84.25,2024-05-04
275,43,Home Goods,666.01,2024-06-12
35,13,Electronics,463.22,2025-03-19
419,17,Confectionary,838.94,2024-12-20
318,6,Confectionary,531.1,2024-11-01
176,14,Confectionary,850.81,2025-03-20
323,12,Fashion,361.68,2024-11-09
163,23,Home Goods,348.1,2024-06-28
54,43,Home Goods,306.95,2024-04-29
378,40,Confectionary,438.31,2024-09-20
203,1,Electronics,180.96,2024-11-02
162,25,Home Goods,673.58,2024-09-26
256,49,Fashion,404.22,2024-12-18
261,28,Stationary,337.0,2024-11-07
381,31,Fashion,935.17,2024-05-17
423,25,Electronics,956.9,2025-01-09
424,29,Electronics,226.93,2025-01-31
80,25,Fashion,656.78,2024-08-08
11,31,Fashion,26.8,2024-06-05
63,47,Fashion,132.82,2024-09-14
430,33,Groceries,516.84,2024-04-01
105,47,Stationary,612.65,2025-01-28
308,36,Electronics,906.38,2024-05-07
266,23,Fashion,972.47,2024-09-29
425,48,Home Goods,18.85,2025-03-15
88,9,Electronics,367.67,2024-08-31
434,4,Groceries,432.85,2024-11-08
370,37,Groceries,882.66,2024-05-10
218,15,Fashion,445.35,2024-08-12
302,37,Fashion,935.97,2024-06-07
393,18,Confectionary,406.39,2024-06-17
421,20,Fashion,399.36,2025-02-27
237,25,Stationary,662.77,2025-03-18
15,25,Home Goods,10.84,2024-12-18
488,36,Fashion,994.59,2024-07-12
332,2,Home Goods,65.24,2025-01-25
153,13,Confectionary,49.43,2024-10-14
120,21,Fashion,748.31,2025-01-14
161,8,Home Goods,923.77,2024-04-03
341,23,Home Goods,494.08,2024-07-29
79,45,Fashion,669.83,2024-12-27
156,16,Fashion,431.54,2024-09-23
313,33,Confectionary,462.87,2024-12-26
477,34,Fashion,894.2,2024-09-03
67,14,Confectionary,776.35,2024-05-02
146,2,Groceries,597.67,2024-04-03
40,4,Electronics,340.56,2025-03-11
353,40,Groceries,784.78,2024-04-27
110,37,Electronics,765.37,2024-12-15
380,39,Electronics,241.91,2025-01-19
376,28,Groceries,687.19,2024-07-05
435,35,Stationary,665.5,2024-07-04
389,46,Home Goods,855.21,2024-07-24
305,39,Electronics,828.54,2024-11-13
95,48,Stationary,573.6,2024-04-27
60,26,Electronics,800.92,2024-10-25
337,17,Electronics,463.15,2024-08-01
155,49,Stationary,551.65,2024-05-17
125,10,Home Goods,635.69,2024-12-04
164,26,Fashion,153.94,2024-06-08
59,1,Electronics,320.15,2024-06-18
434,16,Confectionary,762.24,2024-06-10
107,17,Groceries,441.6,2024-12-03
202,43,Confectionary,833.16,2024-10-06
301,37,Confectionary,813.63,2024-11-09
270,8,Fashion,529.03,2024-07-05
378,24,Fashion,782.53,2024-09-13
327,50,Stationary,971.9,2024-12-16
39,41,Home Goods,402.82,2024-09-24
168,39,Groceries,50.55,2024-07-17
137,46,Confectionary,394.82,2024-10-12
14,38,Home Goods,935.27,2024-05-03
392,50,Fashion,524.62,2024-08-18
209,38,Confectionary,328.8,2025-03-13
23,5,Fashion,811.5,2024-06-12
336,35,Confectionary,813.11,2024-07-02
474,23,Groceries,104.9,2024-05-24
265,50,Electronics,227.47,2024-07-22
228,31,Stationary,792.55,2024-12-07
263,34,Home Goods,851.61,2024-11-03
210,28,Stationary,801.57,2024-08-09
456,8,Stationary,571.23,2024-04-20
469,14,Fashion,343.87,2024-03-27
474,26,Groceries,867.23,2024-05-22
451,38,Home Goods,755.69,2024-12-20
61,32,Fashion,110.98,2024-08-03
401,37,Fashion,543.7,2025-01-04
57,50,Stationary,890.17,2024-08-06
371,48,Confectionary,631.59,2025-02-27
238,40,Groceries,106.62,2024-05-27
152,9,Home Goods,503.12,2025-01-06
281,19,Stationary,769.46,2025-01-19
5,21,Electronics,691.88,2024-12-24
101,26,Fashion,632.61,2024-12-06
493,40,Stationary,884.18,2024-09-02
306,30,Groceries,590.18,2025-02-18
344,3,Confectionary,82.29,2024-10-11
31,41,Home Goods,859.88,2024-12-07
55,18,Stationary,445.7,2024-12-06
154,41,Home Goods,673.62,2024-09-30
277,40,Fashion,927.74,2025-01-24
354,34,Confectionary,460.82,2024-11-24
358,4,Groceries,17.38,2024-07-03
186,27,Confectionary,33.26,2024-10-07
408,48,Confectionary,613.13,2024-06-07
412,25,Home Goods,284.89,2024-04-28
30,50,Confectionary,577.42,2024-09-02
418,31,Fashion,218.13,2025-01-21
372,2,Electronics,430.19,2025-02-02
310,43,Stationary,762.95,2024-12-31
120,19,Electronics,215.46,2025-03-18
436,8,Fashion,513.23,2024-08-05
343,44,Confectionary,908.91,2024-04-03
8,6,Electronics,593.4,2024-12-11
106,41,Stationary,174.64,2024-09-09
498,38,Confectionary,935.01,2025-02-12
138,20,Fashion,302.88,2024-10-09
183,35,Stationary,867.85,2024-07-21
385,22,Confectionary,802.83,2024-08-13
340,37,Confectionary,435.99,2025-03-14
377,25,Fashion,153.41,2024-05-18
421,31,Stationary,928.87,2025-01-02
210,2,Stationary,59.4,2024-07-16
149,1,Stationary,482.0,2025-03-03
374,25,Fashion,605.69,2024-12-23
497,46,Home Goods,766.2,2024-07-06
260,48,Home Goods,364.05,2024-11-05
127,5,Stationary,951.72,2024-03-27
299,1,Groceries,574.67,2024-08-18
66,37,Home Goods,450.38,2024-08-15
21,21,Groceries,721.76,2024-09-17
293,5,Confectionary,537.71,2024-12-10
325,6,Electronics,717.68,2024-09-26
465,15,Home Goods,565.92,2024-09-24
113,23,Home Goods,982.64,2024-12-12
432,16,Confectionary,619.42,2024-12-08
139,20,Electronics,928.64,2024-10-19
238,13,Home Goods,912.31,2024-07-21
361,40,Home Goods,948.25,2024-05-18
479,33,Fashion,747.09,2024-06-12
348,31,Home Goods,427.99,2025-03-11
44,21,Fashion,797.12,2024-07-24
64,21,Confectionary,311.75,2024-06-02
416,6,Confectionary,596.94,2024-10-24
405,11,Electronics,735.68,2024-05-30
455,25,Fashion,741.24,2024-11-23
266,12,Home Goods,199.16,2024-10-29
445,22,Electronics,824.46,2024-12-30
92,7,Fashion,173.7,2024-11-02
112,2,Groceries,627.84,2024-10-01
420,14,Groceries,824.5,2025-01-17
340,16,Home Goods,560.82,2024-07-16
333,48,Fashion,909.3,2024-12-20
275,44,Groceries,173.32,2024-06-21
370,22,Fashion,164.68,2025-01-03
331,4,Fashion,232.09,2024-07-09
227,30,Electronics,300.24,2025-01-19
226,10,Groceries,37.88,2025-01-11
428,25,Home Goods,83.25,2025-02-09
132,37,Confectionary,542.16,2025-01-03
397,50,Stationary,792.45,2024-08-03
229,21,Confectionary,676.14,2024-11-14
315,38,Electronics,728.29,2024-09-11
386,47,Home Goods,778.61,2024-12-12
370,20,Home Goods,477.25,2024-05-20
129,41,Groceries,822.8,2024-09-08
296,4,Electronics,900.01,2024-06-30
25,38,Stationary,743.78,2024-05-22
187,4,Stationary,835.52,2025-03-05
293,21,Stationary,789.71,2024-05-26
356,39,Groceries,680.14,2024-07-25
326,31,Groceries,630.92,2024-09-06
135,34,Home Goods,982.65,2024-10-27
4,26,Home Goods,945.56,2024-04-30
227,42,Fashion,104.83,2024-05-14
378,45,Confectionary,504.24,2024-07-04
169,23,Confectionary,302.16,2024-09-01
445,38,Stationary,493.81,2025-01-27
418,3,Stationary,634.41,2024-07-24
285,28,Fashion,447.04,2024-09-17
325,47,Electronics,102.44,2024-12-23
27,38,Confectionary,819.61,2024-04-25
225,29,Electronics,804.84,2024-08-10
249,36,Stationary,123.88,2024-10-28
366,48,Groceries,403.68,2025-03-14
436,34,Fashion,514.68,2024-04-17
202,26,Fashion,430.45,2024-07-05
438,11,Home Goods,463.38,2024-06-07
198,40,Home Goods,553.96,2024-12-11
418,9,Confectionary,199.89,2024-12-21
136,18,Stationary,893.41,2025-01-13
126,26,Electronics,216.67,2024-05-27
95,8,Home Goods,69.79,2024-11-12
73,30,Fashion,86.69,2024-10-08
247,40,Home Goods,751.79,2024-11-18
341,42,Fashion,142.77,2024-05-26
136,21,Groceries,533.04,2024-12-24
196,34,Electronics,603.72,2024-07-17
214,50,Electronics,98.35,2024-08-10
476,11,Electronics,919.52,2024-05-31
109,13,Groceries,724.41,2024-07-26
324,48,Confectionary,159.64,2025-02-01
103,3,Confectionary,718.84,2025-03-12
341,33,Groceries,376.74,2025-03-10
328,25,Stationary,174.73,2024-10-29
84,6,Electronics,95.03,2024-08-27
224,20,Confectionary,263.79,2024-03-28
257,1,Groceries,360.29,2024-05-08
134,18,Stationary,883.61,2024-11-24
348,24,Stationary,392.32,2024-07-19
108,47,Fashion,207.35,2024-06-01
415,21,Stationary,22.61,2024-08-27
458,37,Home Goods,574.14,2024-12-31
468,37,Stationary,547.75,2024-12-29
8,13,Fashion,779.45,2025-01-21
150,45,Stationary,288.51,2024-08-24
486,37,Groceries,963.47,2024-11-10
477,16,Stationary,105.91,2024-08-03
393,38,Home Goods,69.68,2025-02-19
172,25,Groceries,391.65,2025-02-24
47,46,Home Goods,406.02,2024-11-21
1,21,Electronics,876.39,2025-01-04
361,8,Electronics,483.48,2024-07-02
180,47,Confectionary,452.13,2025-03-04
39,24,Home Goods,84.09,2024-11-23
90,21,Electronics,642.04,2024-09-14
75,6,Fashion,48.14,2024-04-20
500,8,Electronics,405.03,2024-03-29
227,37,Home Goods,509.31,2024-12-22
124,48,Groceries,949.9,2024-10-02
344,10,Stationary,81.08,2025-01-26
97,6,Groceries,886.58,2025-01-20
340,26,Electronics,22.92,2024-08-15
283,34,Electronics,460.08,2025-02-11
207,21,Electronics,456.07,2024-07-18
33,1,Electronics,908.23,2024-06-07
116,34,Fashion,761.18,2024-09-19
455,20,Groceries,131.45,2024-12-02
354,10,Electronics,63.59,2024-11-29
